state,x,y
Andhra Pradesh,-85,-161
Arunachal Pradesh,219,128
Assam,180,80
Bihar,65,57
Chhattisgarh,-24,-27
Goa,-171,-156
Gujarat,-210,6
Haryana,-126,125
Himachal Pradesh,-115,180
Jharkhand,33,19
Karnataka,-153,-179
Kerala,-140,-256
Madhya Pradesh,-111,4
Maharastra,-162,-75
Manipur,202,45
Meghalaya,141,58
Mizoram,190,17
Nagaland,217,75
Odisha,21,-47
Punjab,-139,161
Rajasthan,-190,76
Sikkim,98,110
Tamil Nadu,-100,-250
Telangana,-80,-113
Tripura,135,35
Uttarakhand,-82,149
Uttar Pradesh,-66,84
West Bengal,82,5
